timestamp,sensor_name,sensor_readings
2019-08-05T06:00:00Z,sensor_1,66.26580445
2019-08-05T06:00:00Z,sensor_2,66.62409274
2019-08-05T06:00:00Z,sensor_3,92.66723792
2019-08-05T06:00:00Z,sensor_4,109.1629118
2019-08-05T06:01:00Z,sensor_1,63.9330381
2019-08-05T06:01:00Z,sensor_2,81.85171113
2019-08-05T06:01:00Z,sensor_3,106.2601319
2019-08-05T06:01:00Z,sensor_4,117.7111648
2019-08-05T06:02:00Z,sensor_1,66.94830346
2019-08-05T06:02:00Z,sensor_2,80.85253567
2019-08-05T06:02:00Z,sensor_3,105.3076912
2019-08-05T06:02:00Z,sensor_4,114.9660942
2019-08-05T06:03:00Z,sensor_1,65.11831824
2019-08-05T06:03:00Z,sensor_2,77.42123134
2019-08-05T06:03:00Z,sensor_3,102.391123
2019-08-05T06:03:00Z,sensor_4,115.7330237
2019-08-05T06:04:00Z,sensor_1,64.80235112
2019-08-05T06:04:00Z,sensor_2,81.08531776
2019-08-05T06:04:00Z,sensor_3,105.3268987
2019-08-05T06:04:00Z,sensor_4,117.8291496
2019-08-05T06:05:00Z,sensor_1,66.74342103
2019-08-05T06:05:00Z,sensor_2,80.57256396
2019-08-05T06:05:00Z,sensor_3,102.9573902
2019-08-05T06:05:00Z,sensor_4,116.2852572
2019-08-05T06:06:00Z,sensor_1,66.89206361
2019-08-05T06:06:00Z,sensor_2,78.59286257
2019-08-05T06:06:00Z,sensor_3,103.0707312
2019-08-05T06:06:00Z,sensor_4,116.3111336
2019-08-05T06:07:00Z,sensor_1,67.58947682
2019-08-05T06:07:00Z,sensor_2,80.51656853
2019-08-05T06:07:00Z,sensor_3,104.5687817
2019-08-05T06:07:00Z,sensor_4,117.3825202
2019-08-05T06:08:00Z,sensor_1,67.88264166
2019-08-05T06:08:00Z,sensor_2,80.47893099
2019-08-05T06:08:00Z,sensor_3,103.9604578
2019-08-05T06:08:00Z,sensor_4,117.1416666
2019-08-05T06:09:00Z,sensor_1,68.32410699
2019-08-05T06:09:00Z,sensor_2,80.36855245
2019-08-05T06:09:00Z,sensor_3,103.3935186
2019-08-05T06:09:00Z,sensor_4,116.9208281
2019-08-05T06:10:00Z,sensor_1,68.63572521
2019-08-05T06:10:00Z,sensor_2,80.41462565
2019-08-05T06:10:00Z,sensor_3,102.791044
2019-08-05T06:10:00Z,sensor_4,116.6173221
2019-08-05T06:11:00Z,sensor_1,69.09194263
2019-08-05T06:11:00Z,sensor_2,80.23426533
2019-08-05T06:11:00Z,sensor_3,102.1741838
2019-08-05T06:11:00Z,sensor_4,116.3344059
2019-08-05T06:12:00Z,sensor_1,67.79466553
2019-08-05T06:12:00Z,sensor_2,80.34164624
2019-08-05T06:12:00Z,sensor_3,101.6564245
2019-08-05T06:12:00Z,sensor_4,115.9620399
2019-08-05T06:13:00Z,sensor_1,67.61945383
