timestamp,series_0,series_1,series_2,series_3,series_4
2021-01-01T00:00:00Z,-0.029422617,-0.473649498,-0.19224458,1.34695095,1.289715846
2021-01-01T00:01:00Z,1.007787393,-1.052367306,0.262377261,-0.143764367,0.535112377
2021-01-01T00:02:00Z,-0.748065889,-0.566472749,-0.072228041,2.098236133,-0.680700386
2021-01-01T00:03:00Z,0.969546005,-0.376075739,0.1906547,-0.481221245,0.512041548
2021-01-01T00:04:00Z,-1.437884759,0.882075332,-1.007224649,-1.061802429,0.575165599
2021-01-01T00:05:00Z,0.997356244,0.328516725,-0.428782042,1.487938812,-1.951985703
2021-01-01T00:06:00Z,-0.972924733,0.695607892,-1.139777769,1.441211593,-0.683644258
2021-01-01T00:07:00Z,-1.616419945,0.082182996,1.447420156,1.20142559,0.387707982
2021-01-01T00:08:00Z,0.73030701,0.534265584,1.220560838,2.228269263,-0.39959321
2021-01-01T00:09:00Z,-1.576517163,-2.579702562,-1.474013466,-0.115251028,0.479858323
2021-01-01T00:10:00Z,-0.021617757,0.509917499,0.866395726,-1.269470929,1.670020751
2021-01-01T00:11:00Z,0.294957659,0.633810636,-0.408919699,0.366805091,-0.0855181
2021-01-01T00:12:00Z,0.783522761,0.221075191,-1.206547158,-0.721011505,-0.472150289
2021-01-01T00:13:00Z,0.792853198,0.847506821,0.826463763,0.307287822,-0.688864144
2021-01-01T00:14:00Z,0.668843181,1.907363947,-0.889379816,1.123555171,0.07737879
2021-01-01T00:15:00Z,-0.018572175,0.194113703,-0.682656394,0.366684943,-1.132075296
2021-01-01T00:16:00Z,-0.496509606,0.203853328,0.11342092,-1.806772012,-0.760179597
2021-01-01T00:17:00Z,1.016590175,1.057616476,-0.931950449,-1.261649445,0.253041067
2021-01-01T00:18:00Z,0.70727146,1.751269845,0.674810873,0.732900822,0.474341884
2021-01-01T00:19:00Z,0.584539085,1.344411085,0.419663194,1.435162264,0.67559059
2021-01-01T00:20:00Z,-2.220097314,1.315882623,-0.039621927,0.526536502,-1.266828191
2021-01-01T00:21:00Z,0.556069667,-1.437433544,-0.24796082,-1.091351906,1.076417265
2021-01-01T00:22:00Z,0.74906996,0.022949201,1.145146546,0.443840876,0.667731133
2021-01-01T00:23:00Z,-0.07706505,1.325323058,0.208160118,0.803182742,0.960613318
2021-01-01T00:24:00Z,1.493588338,0.527236855,-1.365345932,0.78633342,-1.24984546
2021-01-01T00:25:00Z,0.608355805,-0.197964776,0.671181598,0.273802212,2.023752227
2021-01-01T00:26:00Z,0.740856312,0.751074651,0.120860651,-1.049205837,-0.96872342
2021-01-01T00:27:00Z,-1.269928876,2.472935979,-1.313695538,1.443033895,-0.491993113
2021-01-01T00:28:00Z,0.064923045,0.919847225,0.604042754,2.225640953,-0.513961468
2021-01-01T00:29:00Z,-0.89244394,0.545028088,-0.917459714,-0.515908904,-0.481604313
2021-01-01T00:30:00Z,-0.792829477,0.500803035,0.611602931,-1.297334162,0.064437526
2021-01-01T00:31:00Z,-1.285560742,0.385466648,-1.112366631,-1.437625086,0.661519798
2021-01-01T00:32:00Z,-1.724163132,-0.68773213,-0.346093834,-0.357180259,0.66718268
2021-01-01T00:33:00Z,1.04383586,-0.42674621,-0.243686685,-0.664219815,1.540881337
2021-01-01T00:34:00Z,-0.487297158,0.623013943,1.579928183,-1.203447269,0.712170739
2021-01-01T00:35:00Z,-0.15402929,0.301345167,1.014762151,-0.035265459,1.330026127
